"department_fiorilli","location_ahgora"
"OLHO VIVO","Ponto Olho Vivo"
"OPMER (Obser.Pesqui.Étnico Racial)","Ponto OPMER - CINEMA"
"OUVIDORIA","Ponto Ouvidoria"
"PETI",
"POLICLINICA","Ponto Policlínica Municipal"
"POLIESPORTIVO","Ponto Poliesportivo"
"PRACA ESPORTE","Ponto Praça de Esportes"
"PREFEITURA MUNICIPAL DE NOVA SERRANA",
"PRO EJA FIC - ERRADICACAO",
"PROCURADORIA","Ponto Procuradoria"
"PROG.MENINOS DE OURO",
"PROGRAMA BOLSA FAMILIA","Ponto Programa Bolsa Família"
"PROGRAMA CRIANÇA FELIZ","Ponto Programa Criança Feliz"
"PRONTO ATENDIMENTO MUNICIPAL","Pronto Atendimento Municipal"
"PROTOCOLO GERAL","Protocolo Geral"
"QUADRA DE AREIA","Ponto Quadra de Areia"
"QUARTEL","Ponto Quartel"
"RECEPCAO CENTRO ADMINISTRATIVO","Recepção Centro Administrativo"
"REDE DE ESGOTO INFRAESTRUTURA","Rede de Esgoto Infraestrutura"
"SALA MINEIRA DO EMPREENDEDOR","Sala Mineira do Empreendedor"
"SAMU","SAMU"
"SANTA CASA","Ponto Santa Casa"
"SAUDE BUCAL - ASB CASAS POPULARES","Ponto Saúde Bucal - ASB Volta do Brejo"
"SAUDE BUCAL - ASB CENTRO","Ponto Saúde Bucal - ASB Centro"
"SAUDE BUCAL - ASB CIDADE JARDI","Ponto Saúde Bucal - ASB Cidade Jardim"
"SAUDE BUCAL - ASB LOTEAMENTO","Ponto Saúde Bucal - ASB Loteamento"
"SAUDE BUCAL - ASB MORRO DOCE","Ponto Saúde Bucal - ASB Morro Doce"
"SAUDE BUCAL - ASB RURAL","Ponto Saúde Bucal - ASB Rural"
"SAUDE BUCAL - ASB TREVO","Ponto Saúde Bucal - ASB Trevo"
"SAUDE BUCAL - ASB VARZEA DAS FLORES","Ponto Saúde Bucal - ASB Várzea das Flores"
"SAUDE BUCAL - ASB VOLTA DO BREJO","Ponto Saúde Bucal - ASB Volta do Brejo"
"SECRETARIA DE ADMINISTRACAO","Ponto Secretaria de Administração"
"SECRETARIA DE EDUCACAO","Ponto Secretaria de Educação"
"SECRETARIA MUN. FINANCAS","Ponto Secretaria Mun. Finanças"
"SENTINELA",
"SEPLAG",
"SERV.URBA-JARDINAGEM","Ponto Serv.Urb-Limp.Praças"
"SERV.URB-COLETA LIXO","Ponto Serv. Urb - Coleta Lixo"
"SERV.URB-LIMP.PRACAS","Ponto Serv.Urb-Limp.Praças"
"SERV.URB-MULTIRAO LIMPEZA","Ponto Serv. Urb - Coleta Lixo"
"SERV.URB-TAPA BURACO","Ponto Serv.Urb-Limp.Praças"
"SERV.URB-VARRICAO","Ponto Serv.Urb-Varrição"
"SERVICO DE CONVIVENCIA","Ponto Serviço de Convivência"
"SERVICO FUNERARIO","Ponto Serviço Funerário"
"SIAT","Ponto SIAT"
"SINDICATO-SERVIDORES","Ponto Sindicato-Servidores"
"SINE - SEDESE","Ponto SINE - SEDESE"
"T.F.D (TRATAMENTO FORA DOMICILIO)","T.F.D (Tratamento Fora Domicílio)"
"TELEFONIA-CENTRO ADMINISTRATIVO","Telefonia-Centro Administrativo"
"TESOURARIA","Ponto Tesouraria"
"TIC-INFORMATICA","Ponto TIC-Informática"
"TRANSITO",
"TRANSPORTE-CULTURA","Ponto Transporte-Cultura"
"TRANSPORTE-DESENVOLVIMENTO","Ponto Transporte-Desenvolvimento"
"TRANSPORTE-ESCOLAR","Ponto Transporte-Escolar"
"TRANSPORTE-INFRAESTRUTURA","Ponto Transporte-Infraestrutura"
"TRANSPORTE-OBRAS","Ponto Transporte-Urbanismo"
"TRANSPORTE-SAUDE","Ponto Transporte-Saúde"
"TRANSPORTE-URBANISMO","Ponto Transporte-Urbanismo"
"TRANSPORTE-ZONA RURAL","Ponto Transporte-Zona Rural"
"UBS CASAS POPULARES","Ponto UBS Casas Populares"
"UBS CENTRO","Ponto UBS Centro"
"UBS CIDADE JARDIM","Ponto UBS Cidade Jardim"
"UBS LOTEAMENTO","Ponto UBS Loteamento"
"UBS MORRO DOCE","Ponto UBS Morro Doce"
"UBS RURAL E SILVA CAMPOS","Ponto Ubs Silva Campos"
"UBS SAO JOSE/CIDADE JARDIM","Ponto UBS Cidade Jardim"
"UBS TREVO","Ponto UBS Trevo/Rural"
"UBS VARZEA DAS FLORES","Ponto UBS Várzea"
"UBS VOLTA DO BREJO","Ponto UBS Volta do Brejo / UBS Populares"
"UNIMONTES","Unimontes"
"URBANISMO - OUTROS","Urbanismo-Outros"
"URBANISMO-SILVA CAMPOS","Urbanismo-Silva Campos"
"VIGIA",
"VIGILACIA EM SAUDE","Vigilância em Saúde"
"VIGILANCIA COVID-19","Vigilância em Saúde"
"VIGILANCIA SANITARIA","Vigilância em Saúde"
"ZOONOSES","Ponto CANIL - ZOONOSE"
